FedEx Express U.S. Package Standard List Rates: FedEx Express Saver®										
"Effective 2/28/2011"										

Weight	Zone 2	Zone 3	Zone 4	Zone 5	Zone 6	Zone 7	Zone 8	Zone 9-10	Zone 11-12	Zone 13-16
17	$18.60 	$23.00 	$27.05 	$31.35 	$43.55 	$48.30 	$56.45 	-	-	-
18	$19.25 	$23.95 	$28.10 	$32.55 	$45.10 	$50.50 	$58.40 	-	-	-
19	$19.90 	$24.65 	$29.10 	$33.75 	$46.65 	$52.55 	$60.45 	-	-	-
20	$20.75 	$25.55 	$30.50 	$35.15 	$48.40 	$54.55 	$63.05 	-	-	-
21	$21.30 	$26.45 	$31.65 	$36.35 	$50.70 	$56.45 	$65.15 	-	-	-
22	$21.85 	$27.40 	$32.90 	$37.45 	$52.40 	$58.50 	$67.55 	-	-	-
23	$22.80 	$28.10 	$34.10 	$38.60 	$54.60 	$60.40 	$69.75 	-	-	-
24	$23.50 	$28.95 	$34.95 	$40.00 	$56.35 	$62.45 	$72.15 	-	-	-
25	$24.25 	$30.20 	$36.10 	$41.40 	$57.95 	$64.60 	$74.55 	-	-	-
26	$25.00 	$31.00 	$37.35 	$42.70 	$59.80 	$66.80 	$76.80 	-	-	-
27	$25.90 	$32.05 	$38.70 	$44.10 	$61.40 	$69.15 	$79.20 	-	-	-
28	$26.60 	$32.95 	$39.65 	$45.30 	$63.45 	$71.25 	$81.65 	-	-	-
29	$27.50 	$33.60 	$40.80 	$46.45 	$65.30 	$73.35 	$84.30 	-	-	-
30	$28.10 	$34.15 	$42.05 	$47.90 	$67.35 	$75.35 	$86.70 	-	-	-
31	$28.85 	$35.75 	$43.10 	$49.00 	$69.40 	$77.55 	$89.05 	-	-	-
32	$29.40 	$36.60 	$44.50 	$50.25 	$71.15 	$79.70 	$91.55 	-	-	-
33	$30.20 	$37.20 	$45.50 	$51.65 	$73.20 	$81.75 	$93.95 	-	-	-
34	$30.80 	$38.15 	$46.55 	$52.90 	$75.10 	$83.75 	$96.85 	-	-	-
35	$31.40 	$39.25 	$47.85 	$54.20 	$76.75 	$85.85 	$99.20 	-	-	-
36	$32.30 	$40.10 	$48.95 	$55.45 	$78.85 	$87.55 	$101.45 	-	-	-
37	$32.90 	$40.95 	$49.85 	$56.70 	$80.50 	$89.30 	$103.70 	-	-	-
38	$33.55 	$41.65 	$51.25 	$58.05 	$82.20 	$91.10 	$105.65 	-	-	-
39	$34.50 	$42.50 	$52.15 	$59.35 	$84.10 	$92.80 	$107.70 	-	-	-
40	$34.75 	$43.25 	$52.30 	$59.90 	$86.00 	$94.70 	$109.70 	-	-	-
41	$35.85 	$44.70 	$54.20 	$62.00 	$87.45 	$96.50 	$112.05 	-	-	-
42	$36.45 	$45.65 	$55.40 	$63.60 	$89.30 	$98.50 	$114.45 	-	-	-
43	$37.20 	$46.65 	$56.45 	$64.80 	$91.10 	$100.70 	$117.05 	-	-	-
44	$37.90 	$47.25 	$57.80 	$66.10 	$92.80 	$102.85 	$119.60 	-	-	-
45	$38.70 	$48.10 	$58.90 	$67.55 	$94.70 	$105.00 	$122.05 	-	-	-
46	$39.25 	$49.05 	$60.05 	$68.75 	$96.60 	$107.05 	$124.95 	-	-	-
47	$39.90 	$49.85 	$61.10 	$70.20 	$98.85 	$109.25 	$127.45 	-	-	-
48	$40.70 	$50.90 	$61.95 	$71.35 	$101.20 	$111.40 	$130.05 	-	-	-
49	$41.30 	$52.05 	$63.15 	$72.80 	$102.40 	$112.70 	$130.10 	-	-	-
50	$41.40 	$52.10 	$63.30 	$72.90 	$102.50 	$112.80 	$130.15 	-	-	-
51	$42.50 	$53.60 	$65.25 	$75.20 	$107.30 	$118.20 	$137.25 	-	-	-
52	$43.10 	$54.50 	$66.40 	$76.35 	$109.10 	$120.60 	$139.45 	-	-	-
53	$44.00 	$55.50 	$67.55 	$77.60 	$110.80 	$122.80 	$142.10 	-	-	-
54	$44.60 	$56.60 	$68.95 	$79.05 	$112.55 	$125.05 	$144.55 	-	-	-
55	$45.15 	$57.40 	$69.95 	$80.25 	$114.35 	$127.40 	$147.05 	-	-	-
56	$45.80 	$58.10 	$71.05 	$81.70 	$115.95 	$129.70 	$149.90 	-	-	-
57	$46.35 	$58.85 	$72.20 	$82.95 	$117.95 	$132.00 	$152.45 	-	-	-
58	$47.25 	$59.75 	$73.10 	$84.25 	$119.85 	$134.65 	$155.00 	-	-	-
59	$47.70 	$60.40 	$74.20 	$85.40 	$122.05 	$137.00 	$157.85 	-	-	-
60	$47.75 	$60.45 	$74.25 	$85.55 	$122.10 	$137.05 	$160.70 	-	-	-
61	$49.05 	$62.20 	$76.35 	$88.40 	$126.10 	$141.50 	$163.25 	-	-	-
62	$49.85 	$63.30 	$77.55 	$89.65 	$128.30 	$143.85 	$165.95 	-	-	-
63	$50.80 	$64.25 	$78.75 	$91.05 	$130.45 	$146.20 	$168.65 	-	-	-
64	$51.50 	$65.10 	$79.95 	$92.25 	$132.65 	$148.50 	$171.35 	-	-	-
65	$52.10 	$66.00 	$81.30 	$93.50 	$134.80 	$150.80 	$173.80 	-	-	-
66	$52.70 	$66.85 	$82.45 	$94.80 	$136.70 	$153.15 	$176.75 	-	-	-
67	$53.40 	$68.15 	$83.35 	$96.20 	$138.90 	$155.50 	$179.50 	-	-	-
68	$54.00 	$68.95 	$84.55 	$97.45 	$138.95 	$157.80 	$182.25 	-	-	-
69	$54.65 	$69.65 	$85.55 	$98.55 	$139.30 	$160.15 	$185.10 	-	-	-
70	$54.70 	$69.70 	$85.60 	$100.05 	$140.75 	$160.20 	$187.90 	-	-	-
71	$56.25 	$71.80 	$88.05 	$100.90 	$146.45 	$164.20 	$190.85 	-	-	-
72	$56.95 	$72.95 	$89.45 	$102.30 	$148.50 	$166.50 	$193.60 	-	-	-
73	$57.65 	$73.80 	$91.10 	$103.55 	$148.60 	$168.30 	$194.35 	-	-	-
74	$58.15 	$74.50 	$92.40 	$105.15 	$148.65 	$168.35 	$194.40 	-	-	-
75	$58.20 	$74.70 	$92.55 	$105.20 	$148.70 	$168.40 	$194.45 	-	-	-
76	$59.90 	$76.55 	$94.90 	$108.35 	$156.35 	$175.65 	$204.95 	-	-	-
77	$60.70 	$77.50 	$95.90 	$110.10 	$158.35 	$178.00 	$205.00 	-	-	-
78	$61.40 	$78.40 	$97.20 	$111.80 	$158.40 	$179.40 	$207.70 	-	-	-
79	$62.15 	$79.05 	$97.30 	$112.85 	$158.45 	$179.45 	$207.75 	-	-	-
80	$62.20 	$79.10 	$98.55 	$112.90 	$158.50 	$179.50 	$207.80 	-	-	-
81	$63.90 	$81.10 	$101.05 	$112.95 	$158.55 	$186.90 	$207.85 	-	-	-
82	$64.65 	$82.05 	$101.85 	$117.35 	$168.15 	$189.45 	$221.40 	-	-	-
83	$65.65 	$82.10 	$103.20 	$118.75 	$169.00 	$189.50 	$224.10 	-	-	-
84	$65.70 	$84.05 	$104.45 	$120.00 	$169.05 	$189.55 	$224.15 	-	-	-
85	$65.75 	$84.10 	$105.50 	$121.45 	$169.10 	$195.40 	$229.50 	-	-	-
86	$68.05 	$85.95 	$106.65 	$122.65 	$169.15 	$197.45 	$232.35 	-	-	-
87	$68.70 	$86.80 	$108.05 	$124.00 	$178.15 	$199.35 	$234.90 	-	-	-
88	$69.35 	$87.70 	$109.30 	$125.70 	$178.20 	$200.20 	$234.95 	-	-	-
89	$70.00 	$88.55 	$110.25 	$127.10 	$178.35 	$200.25 	$235.00 	-	-	-
90	$70.05 	$88.60 	$111.45 	$127.20 	$178.45 	$200.30 	$235.05 	-	-	-
91	$71.75 	$90.50 	$112.55 	$129.75 	$178.50 	$208.55 	$236.10 	-	-	-
92	$71.85 	$91.40 	$113.45 	$131.50 	$180.40 	$208.60 	$238.50 	-	-	-
93	$73.25 	$92.50 	$114.70 	$132.65 	$180.45 	$208.65 	$238.55 	-	-	-
94	$74.20 	$93.50 	$115.70 	$134.15 	$180.50 	$208.70 	$238.60 	-	-	-
95	$74.85 	$94.35 	$116.60 	$135.35 	$189.45 	$208.75 	$238.65 	-	-	-
96	$75.70 	$95.05 	$117.65 	$136.55 	$193.70 	$208.80 	$238.70 	-	-	-
97	$75.85 	$95.95 	$118.75 	$138.15 	$193.75 	$216.85 	$252.85 	-	-	-
98	$75.90 	$96.90 	$118.90 	$139.30 	$193.80 	$216.90 	$252.90 	-	-	-
99	$75.95 	$96.95 	$118.95 	$139.95 	$195.65 	$218.35 	$255.00 	-	-	-
100	$76.00 	$97.00 	$119.00 	$140.00 	$202.00 	$224.00 	$264.00 	-	-	-
101	$76.76 	$97.97 	$120.19 	$141.40 	$204.02 	$226.24 	$266.64 	-	-	-
102	$77.52 	$98.94 	$121.38 	$142.80 	$206.04 	$228.48 	$269.28 	-	-	-
103	$78.28 	$99.91 	$122.57 	$144.20 	$208.06 	$230.72 	$271.92 	-	-	-
104	$79.04 	$100.88 	$123.76 	$145.60 	$210.08 	$232.96 	$274.56 	-	-	-
105	$79.80 	$101.85 	$124.95 	$147.00 	$212.10 	$235.20 	$277.20 	-	-	-
106	$80.56 	$102.82 	$126.14 	$148.40 	$214.12 	$237.44 	$279.84 	-	-	-
107	$81.32 	$103.79 	$127.33 	$149.80 	$216.14 	$239.68 	$282.48 	-	-	-
108	$82.08 	$104.76 	$128.52 	$151.20 	$218.16 	$241.92 	$285.12 	-	-	-
109	$82.84 	$105.73 	$129.71 	$152.60 	$220.18 	$244.16 	$287.76 	-	-	-
110	$83.60 	$106.70 	$130.90 	$154.00 	$222.20 	$246.40 	$290.40 	-	-	-
111	$84.36 	$107.67 	$132.09 	$155.40 	$224.22 	$248.64 	$293.04 	-	-	-
112	$85.12 	$108.64 	$133.28 	$156.80 	$226.24 	$250.88 	$295.68 	-	-	-
113	$85.88 	$109.61 	$134.47 	$158.20 	$228.26 	$253.12 	$298.32 	-	-	-
114	$86.64 	$110.58 	$135.66 	$159.60 	$230.28 	$255.36 	$300.96 	-	-	-
115	$87.40 	$111.55 	$136.85 	$161.00 	$232.30 	$257.60 	$303.60 	-	-	-
116	$88.16 	$112.52 	$138.04 	$162.40 	$234.32 	$259.84 	$306.24 	-	-	-
117	$88.92 	$113.49 	$139.23 	$163.80 	$236.34 	$262.08 	$308.88 	-	-	-
118	$89.68 	$114.46 	$140.42 	$165.20 	$238.36 	$264.32 	$311.52 	-	-	-
119	$90.44 	$115.43 	$141.61 	$166.60 	$240.38 	$266.56 	$314.16 	-	-	-
120	$91.20 	$116.40 	$142.80 	$168.00 	$242.40 	$268.80 	$316.80 	-	-	-
121	$91.96 	$117.37 	$143.99 	$169.40 	$244.42 	$271.04 	$319.44 	-	-	-
122	$92.72 	$118.34 	$145.18 	$170.80 	$246.44 	$273.28 	$322.08 	-	-	-
123	$93.48 	$119.31 	$146.37 	$172.20 	$248.46 	$275.52 	$324.72 	-	-	-
124	$94.24 	$120.28 	$147.56 	$173.60 	$250.48 	$277.76 	$327.36 	-	-	-
125	$95.00 	$121.25 	$148.75 	$175.00 	$252.50 	$280.00 	$330.00 	-	-	-
126	$95.76 	$122.22 	$149.94 	$176.40 	$254.52 	$282.24 	$332.64 	-	-	-
127	$96.52 	$123.19 	$151.13 	$177.80 	$256.54 	$284.48 	$335.28 	-	-	-
128	$97.28 	$124.16 	$152.32 	$179.20 	$258.56 	$286.72 	$337.92 	-	-	-
129	$98.04 	$125.13 	$153.51 	$180.60 	$260.58 	$288.96 	$340.56 	-	-	-
130	$98.80 	$126.10 	$154.70 	$182.00 	$262.60 	$291.20 	$343.20 	-	-	-
131	$99.56 	$127.07 	$155.89 	$183.40 	$264.62 	$293.44 	$345.84 	-	-	-
132	$100.32 	$128.04 	$157.08 	$184.80 	$266.64 	$295.68 	$348.48 	-	-	-
133	$101.08 	$129.01 	$158.27 	$186.20 	$268.66 	$297.92 	$351.12 	-	-	-
134	$101.84 	$129.98 	$159.46 	$187.60 	$270.68 	$300.16 	$353.76 	-	-	-
135	$102.60 	$130.95 	$160.65 	$189.00 	$272.70 	$302.40 	$356.40 	-	-	-
136	$103.36 	$131.92 	$161.84 	$190.40 	$274.72 	$304.64 	$359.04 	-	-	-
137	$104.12 	$132.89 	$163.03 	$191.80 	$276.74 	$306.88 	$361.68 	-	-	-
138	$104.88 	$133.86 	$164.22 	$193.20 	$278.76 	$309.12 	$364.32 	-	-	-
139	$105.64 	$134.83 	$165.41 	$194.60 	$280.78 	$311.36 	$366.96 	-	-	-
140	$106.40 	$135.80 	$166.60 	$196.00 	$282.80 	$313.60 	$369.60 	-	-	-
141	$107.16 	$136.77 	$167.79 	$197.40 	$284.82 	$315.84 	$372.24 	-	-	-
142	$107.92 	$137.74 	$168.98 	$198.80 	$286.84 	$318.08 	$374.88 	-	-	-
143	$108.68 	$138.71 	$170.17 	$200.20 	$288.86 	$320.32 	$377.52 	-	-	-
144	$109.44 	$139.68 	$171.36 	$201.60 	$290.88 	$322.56 	$380.16 	-	-	-
145	$110.20 	$140.65 	$172.55 	$203.00 	$292.90 	$324.80 	$382.80 	-	-	-
146	$110.96 	$141.62 	$173.74 	$204.40 	$294.92 	$327.04 	$385.44 	-	-	-
147	$111.72 	$142.59 	$174.93 	$205.80 	$296.94 	$329.28 	$388.08 	-	-	-
148	$112.48 	$143.56 	$176.12 	$207.20 	$298.96 	$331.52 	$390.72 	-	-	-
149	$113.24 	$144.53 	$177.31 	$208.60 	$300.98 	$333.76 	$393.36 	-	-	-
150	$114.00 	$145.50 	$178.50 	$210.00 	$303.00 	$336.00 	$396.00 	-	-	-


Multiweight/Per-Pound Rates (multiply by total shipment weight)										
"Effective 2/28/2011"										

Weight	Zone 2	Zone 3	Zone 4	Zone 5	Zone 6	Zone 7	Zone 8	Zone 9-10	Zone 11-12	Zone 13-16
100-499	$0.76 	$0.97 	$1.19 	$1.40 	$2.02 	$2.24 	$2.64 	-	-	-
500-999	$0.74 	$0.95 	$1.17 	$1.38 	$2.00 	$2.22 	$2.62 	-	-	-
1000-1999	$0.72 	$0.93 	$1.15 	$1.36 	$1.98 	$2.20 	$2.60 	-	-	-
2000+	$0.70 	$0.91 	$1.13 	$1.34 	$1.96 	$2.18 	$2.58 	-	-	-


Go to fedex.com/us/rates-surcharges for additional fee and surcharge information. 										
