FedEx Express U.S. Package Standard List Rates: FedEx 2Day®										
"Effective 2/28/2011"										

Weight	Zone 2	Zone 3	Zone 4	Zone 5	Zone 6	Zone 7	Zone 8	Zone 9-10	Zone 11-12	Zone 13-16
17	$20.65 	$24.15 	$31.20 	$43.90 	$68.35 	$72.40 	$73.95 	$75.15 	$78.05 	$49.35 
18	$21.35 	$24.95 	$32.40 	$45.50 	$71.15 	$75.65 	$78.35 	$79.65 	$81.15 	$50.80 
19	$22.15 	$25.65 	$33.35 	$47.35 	$73.80 	$79.15 	$80.90 	$82.25 	$85.35 	$52.35 
20	$22.95 	$26.75 	$34.60 	$49.55 	$76.40 	$81.80 	$83.85 	$85.20 	$88.40 	$53.90 
21	$24.05 	$27.80 	$35.90 	$51.20 	$79.15 	$84.60 	$87.75 	$89.10 	$92.45 	$53.95 
22	$24.75 	$29.10 	$36.90 	$52.60 	$81.70 	$87.80 	$91.00 	$92.45 	$96.10 	$57.50 
23	$25.35 	$29.75 	$38.20 	$54.15 	$84.60 	$90.70 	$94.40 	$95.90 	$99.30 	$57.55 
24	$25.90 	$30.90 	$39.40 	$56.20 	$87.70 	$94.25 	$97.75 	$99.30 	$102.85 	$57.60 
25	$26.75 	$31.80 	$40.20 	$58.20 	$90.55 	$97.60 	$101.10 	$102.80 	$106.40 	$62.35 
26	$27.55 	$32.65 	$41.70 	$60.05 	$93.65 	$100.90 	$103.85 	$105.50 	$109.70 	$62.40 
27	$28.45 	$33.60 	$42.75 	$62.20 	$96.80 	$104.30 	$107.10 	$108.90 	$113.00 	$62.50 
28	$29.30 	$34.75 	$43.65 	$63.70 	$99.25 	$106.95 	$109.70 	$112.40 	$117.00 	$65.30 
29	$30.15 	$35.35 	$45.00 	$65.15 	$101.95 	$109.70 	$112.95 	$115.30 	$120.25 	$65.35 
30	$30.70 	$36.30 	$46.55 	$67.25 	$104.70 	$112.65 	$115.85 	$118.85 	$123.35 	$66.65 
31	$31.60 	$37.50 	$47.85 	$68.80 	$107.10 	$115.10 	$118.90 	$121.80 	$127.05 	$68.40 
32	$32.05 	$38.35 	$49.20 	$70.45 	$110.20 	$118.25 	$121.80 	$125.65 	$130.45 	$70.30 
33	$32.95 	$39.30 	$50.50 	$71.95 	$113.20 	$121.00 	$124.85 	$129.05 	$133.70 	$71.75 
34	$34.00 	$40.05 	$51.60 	$74.50 	$116.65 	$123.95 	$127.95 	$132.45 	$137.20 	$75.25 
35	$34.70 	$41.25 	$52.75 	$75.95 	$120.10 	$127.10 	$131.10 	$136.05 	$140.95 	$75.30 
36	$35.20 	$42.20 	$53.75 	$77.50 	$123.35 	$131.10 	$134.45 	$139.20 	$144.00 	$76.35 
37	$35.85 	$42.80 	$55.10 	$79.50 	$126.70 	$134.60 	$138.00 	$142.80 	$148.05 	$78.35 
38	$36.50 	$43.50 	$56.50 	$81.10 	$129.95 	$138.10 	$141.75 	$146.10 	$151.15 	$79.60 
39	$37.60 	$44.60 	$57.45 	$82.70 	$133.05 	$141.75 	$145.45 	$149.55 	$154.75 	$81.25 
40	$38.60 	$45.75 	$58.80 	$84.60 	$136.10 	$145.25 	$148.70 	$152.50 	$158.40 	$82.50 
41	$39.60 	$46.85 	$59.45 	$86.15 	$139.15 	$149.00 	$152.70 	$155.85 	$159.85 	$84.45 
42	$40.20 	$48.00 	$60.70 	$87.90 	$142.15 	$152.70 	$156.55 	$159.40 	$163.30 	$87.90 
43	$41.10 	$49.00 	$61.60 	$89.40 	$145.45 	$155.55 	$159.80 	$162.35 	$167.30 	$87.95 
44	$41.85 	$49.65 	$62.95 	$91.00 	$148.30 	$158.20 	$162.95 	$165.60 	$170.10 	$89.55 
45	$42.75 	$50.80 	$63.90 	$92.30 	$150.95 	$161.10 	$165.35 	$168.00 	$173.35 	$90.90 
46	$43.25 	$51.40 	$65.20 	$93.70 	$153.55 	$163.70 	$169.35 	$172.10 	$176.85 	$92.40 
47	$44.20 	$52.40 	$66.35 	$95.00 	$156.55 	$166.25 	$172.65 	$175.40 	$180.90 	$93.60 
48	$45.00 	$53.60 	$67.50 	$96.40 	$159.30 	$169.10 	$175.55 	$178.35 	$183.90 	$95.65 
49	$45.90 	$54.90 	$68.65 	$98.10 	$162.00 	$171.55 	$178.85 	$181.70 	$184.95 	$97.25 
50	$46.60 	$55.60 	$69.75 	$99.75 	$164.80 	$174.15 	$181.70 	$184.60 	$185.00 	$99.20 
51	$47.30 	$56.20 	$70.90 	$101.20 	$167.55 	$177.40 	$184.85 	$187.80 	$189.40 	$100.90 
52	$47.85 	$57.10 	$72.20 	$103.60 	$170.05 	$180.60 	$188.05 	$191.10 	$196.55 	$102.10 
53	$48.75 	$58.20 	$73.20 	$105.15 	$172.65 	$183.80 	$190.40 	$191.15 	$196.60 	$103.90 
54	$49.45 	$59.15 	$74.30 	$106.75 	$175.55 	$187.40 	$193.25 	$196.35 	$196.65 	$105.20 
55	$50.40 	$60.15 	$75.20 	$108.70 	$178.65 	$190.95 	$196.15 	$199.25 	$206.40 	$107.00 
56	$51.15 	$60.95 	$76.30 	$110.45 	$181.40 	$193.95 	$199.65 	$202.90 	$208.00 	$108.30 
57	$51.75 	$61.95 	$77.55 	$112.00 	$184.55 	$197.20 	$203.30 	$206.55 	$208.05 	$109.70 
58	$52.75 	$62.95 	$78.95 	$113.85 	$188.05 	$200.55 	$206.45 	$209.65 	$211.20 	$112.15 
59	$53.40 	$63.70 	$80.45 	$115.90 	$191.55 	$203.85 	$209.80 	$213.15 	$213.75 	$113.70 
60	$53.90 	$64.30 	$81.70 	$117.55 	$194.90 	$207.30 	$212.40 	$215.75 	$216.10 	$115.00 
61	$54.90 	$65.20 	$82.80 	$119.05 	$197.80 	$209.65 	$215.85 	$216.20 	$226.45 	$116.50 
62	$55.90 	$66.45 	$83.80 	$121.00 	$200.55 	$213.25 	$219.65 	$223.10 	$231.60 	$118.60 
63	$56.80 	$67.50 	$84.85 	$122.60 	$203.50 	$216.75 	$223.85 	$227.10 	$231.65 	$119.80 
64	$57.80 	$68.55 	$85.85 	$124.25 	$206.50 	$220.25 	$226.75 	$227.15 	$231.70 	$121.85 
65	$58.65 	$69.55 	$87.15 	$126.10 	$209.55 	$223.90 	$230.70 	$234.35 	$234.50 	$123.35 
66	$59.40 	$70.20 	$88.40 	$128.15 	$213.00 	$226.75 	$234.80 	$235.15 	$239.00 	$125.50 
67	$59.95 	$71.60 	$89.75 	$130.20 	$215.65 	$230.05 	$238.20 	$241.95 	$242.60 	$126.90 
68	$60.65 	$72.20 	$91.00 	$132.50 	$218.55 	$233.15 	$241.20 	$245.00 	$245.50 	$128.90 
69	$61.65 	$73.25 	$92.20 	$134.90 	$221.25 	$236.35 	$245.40 	$245.85 	$246.85 	$130.95 
70	$62.60 	$74.35 	$93.65 	$137.25 	$223.90 	$239.30 	$248.15 	$248.55 	$249.75 	$132.40 
71	$63.40 	$75.40 	$94.90 	$139.15 	$226.95 	$242.00 	$251.40 	$251.80 	$255.80 	$134.25 
72	$64.20 	$76.75 	$96.10 	$141.25 	$230.05 	$245.50 	$255.20 	$255.60 	$256.80 	$135.65 
73	$64.80 	$77.40 	$97.50 	$143.60 	$233.35 	$248.85 	$258.10 	$258.50 	$259.60 	$138.15 
74	$65.70 	$78.35 	$98.80 	$145.45 	$236.50 	$252.65 	$262.00 	$266.15 	$266.75 	$139.65 
75	$66.65 	$79.60 	$99.95 	$147.45 	$239.70 	$256.05 	$265.45 	$269.60 	$270.05 	$141.30 
76	$67.30 	$80.50 	$101.15 	$149.15 	$241.10 	$259.75 	$268.30 	$272.00 	$273.65 	$142.90 
77	$68.50 	$81.55 	$102.40 	$151.05 	$246.25 	$262.75 	$271.60 	$272.05 	$273.75 	$144.60 
78	$69.15 	$82.20 	$103.90 	$153.25 	$246.30 	$266.10 	$273.80 	$274.25 	$275.30 	$146.55 
79	$69.95 	$83.25 	$105.30 	$155.45 	$252.85 	$269.15 	$278.40 	$278.85 	$279.75 	$148.65 
80	$71.05 	$84.20 	$106.80 	$157.45 	$256.05 	$272.50 	$278.45 	$282.25 	$283.20 	$153.20 
81	$71.70 	$85.20 	$106.85 	$157.50 	$256.10 	$272.55 	$278.50 	$282.30 	$284.05 	$153.25 
82	$72.45 	$86.25 	$109.20 	$161.50 	$261.95 	$279.30 	$288.50 	$288.95 	$290.05 	$153.30 
83	$73.00 	$87.25 	$110.60 	$161.55 	$264.95 	$279.35 	$291.90 	$292.35 	$293.75 	$155.40 
84	$73.90 	$88.40 	$111.55 	$164.35 	$265.00 	$286.85 	$294.75 	$295.25 	$296.85 	$157.10 
85	$74.80 	$89.55 	$112.70 	$167.00 	$270.85 	$290.70 	$297.95 	$298.45 	$300.20 	$168.85 
86	$75.85 	$89.60 	$114.00 	$168.95 	$270.90 	$294.45 	$301.40 	$301.90 	$303.45 	$168.90 
87	$76.40 	$91.40 	$115.25 	$170.85 	$270.95 	$294.50 	$304.40 	$304.90 	$306.65 	$168.95 
88	$77.05 	$92.50 	$116.65 	$172.40 	$271.00 	$294.55 	$304.45 	$308.25 	$310.05 	$176.35 
89	$77.90 	$93.10 	$117.80 	$174.05 	$271.05 	$294.60 	$304.50 	$312.15 	$313.40 	$176.45 
90	$79.20 	$94.05 	$118.95 	$175.85 	$282.50 	$308.50 	$314.95 	$315.45 	$317.00 	$178.40 
91	$80.35 	$95.25 	$119.00 	$178.10 	$282.55 	$312.35 	$318.35 	$318.85 	$320.55 	$178.45 
92	$81.35 	$96.20 	$121.40 	$178.15 	$282.60 	$312.40 	$321.60 	$322.10 	$323.85 	$181.85 
93	$82.00 	$97.60 	$121.45 	$178.20 	$282.65 	$312.45 	$321.65 	$325.25 	$327.20 	$181.90 
94	$82.70 	$97.65 	$122.85 	$178.25 	$282.70 	$322.05 	$324.80 	$325.30 	$327.25 	$181.95 
95	$83.40 	$97.70 	$125.35 	$178.30 	$282.75 	$322.10 	$331.10 	$331.60 	$333.15 	$182.00 
96	$84.00 	$98.80 	$126.45 	$178.35 	$285.10 	$322.15 	$334.60 	$335.15 	$336.40 	$189.45 
97	$84.85 	$98.85 	$126.50 	$187.85 	$306.55 	$322.20 	$336.35 	$338.40 	$339.50 	$192.70 
98	$85.60 	$98.90 	$127.90 	$187.90 	$306.60 	$334.95 	$336.40 	$338.50 	$339.75 	$192.75 
99	$86.35 	$98.95 	$127.95 	$187.95 	$306.65 	$335.00 	$336.45 	$338.60 	$339.90 	$192.80 
100	$87.00 	$99.00 	$128.00 	$188.00 	$312.00 	$336.00 	$343.00 	$350.00 	$353.00 	$207.00 
101	$87.87 	$99.99 	$129.28 	$189.88 	$315.12 	$339.36 	$346.43 	$353.50 	$356.53 	$209.07 
102	$88.74 	$100.98 	$130.56 	$191.76 	$318.24 	$342.72 	$349.86 	$357.00 	$360.06 	$211.14 
103	$89.61 	$101.97 	$131.84 	$193.64 	$321.36 	$346.08 	$353.29 	$360.50 	$363.59 	$213.21 
104	$90.48 	$102.96 	$133.12 	$195.52 	$324.48 	$349.44 	$356.72 	$364.00 	$367.12 	$215.28 
105	$91.35 	$103.95 	$134.40 	$197.40 	$327.60 	$352.80 	$360.15 	$367.50 	$370.65 	$217.35 
106	$92.22 	$104.94 	$135.68 	$199.28 	$330.72 	$356.16 	$363.58 	$371.00 	$374.18 	$219.42 
107	$93.09 	$105.93 	$136.96 	$201.16 	$333.84 	$359.52 	$367.01 	$374.50 	$377.71 	$221.49 
108	$93.96 	$106.92 	$138.24 	$203.04 	$336.96 	$362.88 	$370.44 	$378.00 	$381.24 	$223.56 
109	$94.83 	$107.91 	$139.52 	$204.92 	$340.08 	$366.24 	$373.87 	$381.50 	$384.77 	$225.63 
110	$95.70 	$108.90 	$140.80 	$206.80 	$343.20 	$369.60 	$377.30 	$385.00 	$388.30 	$227.70 
111	$96.57 	$109.89 	$142.08 	$208.68 	$346.32 	$372.96 	$380.73 	$388.50 	$391.83 	$229.77 
112	$97.44 	$110.88 	$143.36 	$210.56 	$349.44 	$376.32 	$384.16 	$392.00 	$395.36 	$231.84 
113	$98.31 	$111.87 	$144.64 	$212.44 	$352.56 	$379.68 	$387.59 	$395.50 	$398.89 	$233.91 
114	$99.18 	$112.86 	$145.92 	$214.32 	$355.68 	$383.04 	$391.02 	$399.00 	$402.42 	$235.98 
115	$100.05 	$113.85 	$147.20 	$216.20 	$358.80 	$386.40 	$394.45 	$402.50 	$405.95 	$238.05 
116	$100.92 	$114.84 	$148.48 	$218.08 	$361.92 	$389.76 	$397.88 	$406.00 	$409.48 	$240.12 
117	$101.79 	$115.83 	$149.76 	$219.96 	$365.04 	$393.12 	$401.31 	$409.50 	$413.01 	$242.19 
118	$102.66 	$116.82 	$151.04 	$221.84 	$368.16 	$396.48 	$404.74 	$413.00 	$416.54 	$244.26 
119	$103.53 	$117.81 	$152.32 	$223.72 	$371.28 	$399.84 	$408.17 	$416.50 	$420.07 	$246.33 
120	$104.40 	$118.80 	$153.60 	$225.60 	$374.40 	$403.20 	$411.60 	$420.00 	$423.60 	$248.40 
121	$105.27 	$119.79 	$154.88 	$227.48 	$377.52 	$406.56 	$415.03 	$423.50 	$427.13 	$250.47 
122	$106.14 	$120.78 	$156.16 	$229.36 	$380.64 	$409.92 	$418.46 	$427.00 	$430.66 	$252.54 
123	$107.01 	$121.77 	$157.44 	$231.24 	$383.76 	$413.28 	$421.89 	$430.50 	$434.19 	$254.61 
124	$107.88 	$122.76 	$158.72 	$233.12 	$386.88 	$416.64 	$425.32 	$434.00 	$437.72 	$256.68 
125	$108.75 	$123.75 	$160.00 	$235.00 	$390.00 	$420.00 	$428.75 	$437.50 	$441.25 	$258.75 
126	$109.62 	$124.74 	$161.28 	$236.88 	$393.12 	$423.36 	$432.18 	$441.00 	$444.78 	$260.82 
127	$110.49 	$125.73 	$162.56 	$238.76 	$396.24 	$426.72 	$435.61 	$444.50 	$448.31 	$262.89 
128	$111.36 	$126.72 	$163.84 	$240.64 	$399.36 	$430.08 	$439.04 	$448.00 	$451.84 	$264.96 
129	$112.23 	$127.71 	$165.12 	$242.52 	$402.48 	$433.44 	$442.47 	$451.50 	$455.37 	$267.03 
130	$113.10 	$128.70 	$166.40 	$244.40 	$405.60 	$436.80 	$445.90 	$455.00 	$458.90 	$269.10 
131	$113.97 	$129.69 	$167.68 	$246.28 	$408.72 	$440.16 	$449.33 	$458.50 	$462.43 	$271.17 
132	$114.84 	$130.68 	$168.96 	$248.16 	$411.84 	$443.52 	$452.76 	$462.00 	$465.96 	$273.24 
133	$115.71 	$131.67 	$170.24 	$250.04 	$414.96 	$446.88 	$456.19 	$465.50 	$469.49 	$275.31 
134	$116.58 	$132.66 	$171.52 	$251.92 	$418.08 	$450.24 	$459.62 	$469.00 	$473.02 	$277.38 
135	$117.45 	$133.65 	$172.80 	$253.80 	$421.20 	$453.60 	$463.05 	$472.50 	$476.55 	$279.45 
136	$118.32 	$134.64 	$174.08 	$255.68 	$424.32 	$456.96 	$466.48 	$476.00 	$480.08 	$281.52 
137	$119.19 	$135.63 	$175.36 	$257.56 	$427.44 	$460.32 	$469.91 	$479.50 	$483.61 	$283.59 
138	$120.06 	$136.62 	$176.64 	$259.44 	$430.56 	$463.68 	$473.34 	$483.00 	$487.14 	$285.66 
139	$120.93 	$137.61 	$177.92 	$261.32 	$433.68 	$467.04 	$476.77 	$486.50 	$490.67 	$287.73 
140	$121.80 	$138.60 	$179.20 	$263.20 	$436.80 	$470.40 	$480.20 	$490.00 	$494.20 	$289.80 
141	$122.67 	$139.59 	$180.48 	$265.08 	$439.92 	$473.76 	$483.63 	$493.50 	$497.73 	$291.87 
142	$123.54 	$140.58 	$181.76 	$266.96 	$443.04 	$477.12 	$487.06 	$497.00 	$501.26 	$293.94 
143	$124.41 	$141.57 	$183.04 	$268.84 	$446.16 	$480.48 	$490.49 	$500.50 	$504.79 	$296.01 
144	$125.28 	$142.56 	$184.32 	$270.72 	$449.28 	$483.84 	$493.92 	$504.00 	$508.32 	$298.08 
145	$126.15 	$143.55 	$185.60 	$272.60 	$452.40 	$487.20 	$497.35 	$507.50 	$511.85 	$300.15 
146	$127.02 	$144.54 	$186.88 	$274.48 	$455.52 	$490.56 	$500.78 	$511.00 	$515.38 	$302.22 
147	$127.89 	$145.53 	$188.16 	$276.36 	$458.64 	$493.92 	$504.21 	$514.50 	$518.91 	$304.29 
148	$128.76 	$146.52 	$189.44 	$278.24 	$461.76 	$497.28 	$507.64 	$518.00 	$522.44 	$306.36 
149	$129.63 	$147.51 	$190.72 	$280.12 	$464.88 	$500.64 	$511.07 	$521.50 	$525.97 	$308.43 
150	$130.50 	$148.50 	$192.00 	$282.00 	$468.00 	$504.00 	$514.50 	$525.00 	$529.50 	$310.50 


Multiweight/Per-Pound Rates (multiply by total shipment weight)										
"Effective 2/28/2011"										

Weight	Zone 2	Zone 3	Zone 4	Zone 5	Zone 6	Zone 7	Zone 8	Zone 9-10	Zone 11-12	Zone 13-16
100-499	$0.87 	$0.99 	$1.28 	$1.88 	$3.12 	$3.36 	$3.43 	$3.50 	$3.53 	$2.07 
500-999	$0.85 	$0.97 	$1.26 	$1.86 	$3.10 	$3.34 	$3.41 	$3.48 	$3.51 	$2.05 
1000-1999	$0.83 	$0.95 	$1.24 	$1.84 	$3.08 	$3.32 	$3.39 	$3.46 	$3.49 	$2.03 
2000+	$0.81 	$0.93 	$1.22 	$1.82 	$3.06 	$3.30 	$3.37 	$3.44 	$3.47 	$2.01 


Go to fedex.com/us/rates-surcharges for additional fee and surcharge information. 										
