FedEx Express U.S. Package Standard List Rates: FedEx Priority Overnight®										
"Effective 2/28/2011"										

Weight	Zone 2	Zone 3	Zone 4	Zone 5	Zone 6	Zone 7	Zone 8	Zone 9-10	Zone 11-12	Zone 13-16
20	$44.40 	$63.70 	$108.25 	$117.40 	$127.30 	$132.85 	$137.60 	$140.60 	$151.60 	$104.65 
21	$46.75 	$66.20 	$110.60 	$120.40 	$129.95 	$135.50 	$141.35 	$143.85 	$155.65 	$111.20 
22	$48.10 	$67.70 	$113.30 	$123.10 	$132.65 	$138.65 	$144.40 	$147.05 	$159.10 	$112.20 
23	$49.10 	$69.10 	$116.00 	$126.15 	$135.70 	$141.65 	$147.80 	$151.05 	$161.60 	$112.25 
24	$50.15 	$70.30 	$119.10 	$129.35 	$139.35 	$144.70 	$150.85 	$153.90 	$164.65 	$116.95 
25	$50.55 	$70.65 	$122.10 	$132.00 	$140.75 	$148.20 	$153.90 	$158.70 	$165.60 	$117.00 
26	$52.55 	$73.40 	$125.45 	$135.25 	$146.85 	$152.00 	$157.15 	$161.15 	$170.70 	$124.40 
27	$53.50 	$74.75 	$128.55 	$139.15 	$150.90 	$155.30 	$160.15 	$164.50 	$173.50 	$129.10 
28	$54.85 	$76.40 	$131.95 	$143.10 	$153.95 	$158.40 	$163.55 	$167.55 	$177.05 	$131.75 
29	$55.40 	$77.70 	$135.30 	$146.15 	$157.25 	$161.85 	$167.00 	$170.25 	$180.95 	$134.05 
30	$55.45 	$77.75 	$138.00 	$149.50 	$157.30 	$164.95 	$168.10 	$173.35 	$181.60 	$135.60 
31	$57.95 	$80.60 	$141.00 	$152.90 	$163.65 	$168.30 	$173.80 	$176.45 	$187.35 	$140.45 
32	$59.60 	$82.50 	$144.05 	$156.30 	$167.00 	$171.70 	$177.10 	$179.75 	$191.25 	$143.75 
33	$61.00 	$84.55 	$146.85 	$159.65 	$170.40 	$175.50 	$181.15 	$183.85 	$195.25 	$146.45 
34	$62.30 	$85.85 	$150.20 	$163.05 	$174.10 	$179.30 	$184.90 	$187.60 	$198.85 	$147.70 
35	$63.65 	$87.45 	$153.55 	$166.45 	$177.40 	$183.05 	$188.55 	$191.40 	$202.70 	$157.50 
36	$65.75 	$88.80 	$156.85 	$169.80 	$180.90 	$187.10 	$192.20 	$195.10 	$207.05 	$160.65 
37	$65.85 	$91.35 	$159.95 	$173.25 	$184.50 	$191.25 	$196.25 	$199.25 	$210.30 	$160.70 
38	$66.90 	$92.80 	$162.75 	$176.30 	$188.00 	$195.70 	$200.00 	$202.95 	$214.30 	$161.90 
39	$69.10 	$94.40 	$165.80 	$179.60 	$191.60 	$199.75 	$203.95 	$206.95 	$214.35 	$163.65 
40	$69.15 	$96.00 	$168.80 	$183.00 	$195.00 	$203.60 	$208.05 	$211.10 	$214.40 	$163.70 
41	$71.35 	$97.95 	$171.85 	$186.45 	$198.70 	$206.90 	$212.00 	$215.20 	$227.40 	$169.25 
42	$72.40 	$99.90 	$175.20 	$189.80 	$202.75 	$211.75 	$216.30 	$219.60 	$230.90 	$171.65 
43	$74.35 	$101.80 	$178.65 	$193.15 	$206.50 	$215.15 	$220.75 	$224.00 	$234.55 	$173.85 
44	$76.00 	$103.80 	$181.70 	$196.55 	$210.15 	$218.90 	$225.45 	$228.85 	$238.85 	$173.90 
45	$77.60 	$106.00 	$184.95 	$199.95 	$214.25 	$222.70 	$229.10 	$232.50 	$243.20 	$179.05 
46	$79.15 	$108.25 	$188.15 	$203.35 	$218.30 	$226.50 	$233.10 	$236.60 	$246.30 	$181.35 
47	$80.45 	$110.55 	$191.45 	$206.40 	$222.30 	$229.80 	$236.80 	$240.35 	$246.35 	$181.40 
48	$81.00 	$112.75 	$194.20 	$209.80 	$226.35 	$233.95 	$241.20 	$244.80 	$251.65 	$182.45 
49	$81.60 	$115.35 	$196.90 	$209.95 	$226.40 	$237.70 	$245.50 	$249.15 	$251.70 	$182.50 
50	$81.65 	$115.50 	$196.95 	$210.00 	$226.45 	$237.75 	$245.55 	$249.20 	$251.75 	$182.55 
51	$86.05 	$120.15 	$203.00 	$219.95 	$238.80 	$245.95 	$254.90 	$258.65 	$259.95 	$191.75 
52	$87.35 	$122.70 	$206.05 	$223.30 	$242.85 	$250.00 	$259.90 	$263.80 	$268.40 	$196.80 
53	$89.10 	$124.70 	$209.10 	$227.00 	$247.20 	$254.05 	$264.30 	$268.25 	$268.45 	$196.85 
54	$90.50 	$127.20 	$212.45 	$230.15 	$250.95 	$258.95 	$269.30 	$273.30 	$275.65 	$197.85 
55	$91.85 	$129.55 	$216.60 	$233.15 	$254.70 	$263.30 	$273.30 	$277.45 	$284.40 	$203.45 
56	$93.55 	$132.00 	$220.65 	$236.20 	$258.70 	$268.15 	$277.70 	$281.85 	$284.45 	$206.10 
57	$95.35 	$134.30 	$224.65 	$239.25 	$262.40 	$272.55 	$282.45 	$286.60 	$292.55 	$206.15 
58	$97.45 	$136.50 	$228.75 	$242.55 	$266.45 	$277.40 	$287.45 	$291.70 	$292.60 	$212.80 
59	$98.80 	$138.80 	$232.75 	$246.35 	$270.50 	$281.80 	$292.50 	$296.85 	$296.90 	$226.45 
60	$99.80 	$139.75 	$236.50 	$249.70 	$274.85 	$286.55 	$296.05 	$300.40 	$300.60 	$226.50 
61	$102.55 	$143.65 	$240.55 	$254.10 	$279.25 	$291.00 	$296.10 	$307.00 	$312.10 	$233.60 
62	$105.00 	$146.20 	$244.25 	$258.90 	$283.60 	$295.80 	$307.15 	$311.75 	$315.70 	$237.40 
63	$106.75 	$149.10 	$248.40 	$262.65 	$288.30 	$300.90 	$312.25 	$316.90 	$319.55 	$237.45 
64	$108.75 	$152.00 	$252.45 	$267.05 	$293.05 	$306.10 	$317.25 	$321.95 	$326.65 	$237.55 
65	$109.45 	$154.90 	$256.15 	$271.35 	$297.75 	$311.50 	$321.60 	$322.00 	$326.70 	$242.50 
66	$112.65 	$157.75 	$260.25 	$275.75 	$302.45 	$316.65 	$327.30 	$332.20 	$332.85 	$244.00 
67	$113.15 	$160.70 	$263.95 	$280.55 	$307.55 	$322.10 	$333.00 	$337.95 	$338.30 	$251.90 
68	$116.70 	$163.55 	$268.00 	$285.25 	$312.25 	$322.15 	$338.40 	$343.40 	$345.25 	$252.85 
69	$118.45 	$166.45 	$272.00 	$290.00 	$312.30 	$323.75 	$344.10 	$349.20 	$350.80 	$256.30 
70	$118.50 	$167.75 	$272.05 	$294.45 	$317.00 	$323.80 	$348.75 	$353.90 	$355.80 	$256.35 
71	$122.55 	$172.50 	$279.85 	$299.15 	$318.50 	$332.30 	$355.10 	$360.35 	$360.95 	$264.50 
72	$123.60 	$173.85 	$279.90 	$303.90 	$318.55 	$332.35 	$355.15 	$360.40 	$367.75 	$268.25 
73	$123.65 	$178.65 	$279.95 	$303.95 	$322.75 	$337.50 	$361.35 	$366.65 	$377.75 	$268.30 
74	$123.70 	$181.55 	$281.00 	$313.35 	$330.15 	$355.90 	$361.40 	$366.70 	$377.80 	$268.35 
75	$123.75 	$183.10 	$291.70 	$313.40 	$330.20 	$360.75 	$361.45 	$366.75 	$377.85 	$268.40 
76	$131.50 	$187.65 	$299.45 	$322.50 	$336.55 	$360.80 	$379.95 	$382.00 	$394.25 	$283.85 
77	$131.55 	$188.80 	$300.80 	$322.55 	$345.00 	$362.45 	$380.70 	$390.70 	$394.30 	$288.40 
78	$131.60 	$189.90 	$300.85 	$322.60 	$345.05 	$362.50 	$380.75 	$395.75 	$397.60 	$288.45 
79	$131.65 	$194.25 	$300.90 	$333.45 	$351.15 	$370.35 	$390.00 	$400.90 	$405.05 	$288.50 
80	$131.70 	$194.30 	$300.95 	$333.50 	$351.20 	$372.85 	$390.05 	$406.00 	$408.70 	$288.55 
81	$140.55 	$198.10 	$304.45 	$333.55 	$356.70 	$377.60 	$395.70 	$406.05 	$409.80 	$297.95 
82	$142.80 	$204.45 	$318.20 	$348.25 	$359.30 	$382.95 	$409.70 	$415.80 	$422.65 	$298.00 
83	$144.45 	$206.95 	$318.25 	$348.30 	$365.95 	$388.30 	$410.20 	$417.00 	$422.70 	$298.05 
84	$144.50 	$207.25 	$318.30 	$348.35 	$366.00 	$393.85 	$410.25 	$417.10 	$422.75 	$298.10 
85	$144.55 	$209.85 	$323.30 	$360.70 	$374.55 	$398.85 	$415.20 	$417.15 	$432.15 	$298.15 
86	$149.25 	$212.40 	$330.05 	$360.75 	$374.60 	$403.75 	$420.10 	$426.15 	$432.20 	$310.20 
87	$149.30 	$216.95 	$335.05 	$362.85 	$374.65 	$409.30 	$424.60 	$436.30 	$445.90 	$331.60 
88	$149.35 	$217.50 	$338.25 	$362.90 	$385.40 	$413.80 	$439.95 	$442.35 	$445.95 	$331.65 
89	$149.40 	$217.55 	$345.05 	$366.65 	$411.00 	$419.15 	$440.35 	$450.30 	$459.05 	$331.70 
90	$149.45 	$217.60 	$350.50 	$375.20 	$411.05 	$423.80 	$440.40 	$450.35 	$464.95 	$344.40 
91	$158.05 	$226.95 	$358.80 	$375.25 	$420.05 	$427.70 	$445.30 	$461.80 	$473.60 	$344.50 
92	$158.15 	$227.00 	$362.80 	$380.30 	$420.15 	$442.35 	$458.30 	$466.90 	$477.80 	$356.60 
93	$158.20 	$227.75 	$364.00 	$390.65 	$420.20 	$447.20 	$458.35 	$471.90 	$477.85 	$356.65 
94	$158.25 	$230.05 	$370.60 	$390.70 	$420.25 	$447.25 	$458.40 	$476.70 	$489.85 	$370.60 
95	$158.30 	$230.10 	$371.70 	$393.35 	$420.30 	$450.65 	$463.50 	$476.75 	$489.90 	$370.65 
96	$167.55 	$239.15 	$375.70 	$397.60 	$423.55 	$450.70 	$469.75 	$476.80 	$489.95 	$370.75 
97	$169.00 	$239.45 	$382.45 	$402.35 	$443.40 	$466.60 	$484.85 	$487.50 	$490.00 	$370.85 
98	$169.10 	$242.05 	$386.45 	$402.40 	$443.45 	$466.65 	$484.90 	$487.95 	$509.90 	$371.35 
99	$172.60 	$242.25 	$386.50 	$410.80 	$443.50 	$466.70 	$484.95 	$488.00 	$519.95 	$375.15 
100	$174.00 	$247.00 	$392.00 	$422.00 	$460.00 	$479.00 	$497.00 	$505.00 	$520.00 	$390.00 
101	$175.74 	$249.47 	$395.92 	$426.22 	$464.60 	$483.79 	$501.97 	$510.05 	$525.20 	$393.90 
102	$177.48 	$251.94 	$399.84 	$430.44 	$469.20 	$488.58 	$506.94 	$515.10 	$530.40 	$397.80 
103	$179.22 	$254.41 	$403.76 	$434.66 	$473.80 	$493.37 	$511.91 	$520.15 	$535.60 	$401.70 
104	$180.96 	$256.88 	$407.68 	$438.88 	$478.40 	$498.16 	$516.88 	$525.20 	$540.80 	$405.60 
105	$182.70 	$259.35 	$411.60 	$443.10 	$483.00 	$502.95 	$521.85 	$530.25 	$546.00 	$409.50 
106	$184.44 	$261.82 	$415.52 	$447.32 	$487.60 	$507.74 	$526.82 	$535.30 	$551.20 	$413.40 
107	$186.18 	$264.29 	$419.44 	$451.54 	$492.20 	$512.53 	$531.79 	$540.35 	$556.40 	$417.30 
108	$187.92 	$266.76 	$423.36 	$455.76 	$496.80 	$517.32 	$536.76 	$545.40 	$561.60 	$421.20 
109	$189.66 	$269.23 	$427.28 	$459.98 	$501.40 	$522.11 	$541.73 	$550.45 	$566.80 	$425.10 
110	$191.40 	$271.70 	$431.20 	$464.20 	$506.00 	$526.90 	$546.70 	$555.50 	$572.00 	$429.00 
111	$193.14 	$274.17 	$435.12 	$468.42 	$510.60 	$531.69 	$551.67 	$560.55 	$577.20 	$432.90 
112	$194.88 	$276.64 	$439.04 	$472.64 	$515.20 	$536.48 	$556.64 	$565.60 	$582.40 	$436.80 
113	$196.62 	$279.11 	$442.96 	$476.86 	$519.80 	$541.27 	$561.61 	$570.65 	$587.60 	$440.70 
114	$198.36 	$281.58 	$446.88 	$481.08 	$524.40 	$546.06 	$566.58 	$575.70 	$592.80 	$444.60 
115	$200.10 	$284.05 	$450.80 	$485.30 	$529.00 	$550.85 	$571.55 	$580.75 	$598.00 	$448.50 
116	$201.84 	$286.52 	$454.72 	$489.52 	$533.60 	$555.64 	$576.52 	$585.80 	$603.20 	$452.40 
117	$203.58 	$288.99 	$458.64 	$493.74 	$538.20 	$560.43 	$581.49 	$590.85 	$608.40 	$456.30 
118	$205.32 	$291.46 	$462.56 	$497.96 	$542.80 	$565.22 	$586.46 	$595.90 	$613.60 	$460.20 
119	$207.06 	$293.93 	$466.48 	$502.18 	$547.40 	$570.01 	$591.43 	$600.95 	$618.80 	$464.10 
120	$208.80 	$296.40 	$470.40 	$506.40 	$552.00 	$574.80 	$596.40 	$606.00 	$624.00 	$468.00 
121	$210.54 	$298.87 	$474.32 	$510.62 	$556.60 	$579.59 	$601.37 	$611.05 	$629.20 	$471.90 
122	$212.28 	$301.34 	$478.24 	$514.84 	$561.20 	$584.38 	$606.34 	$616.10 	$634.40 	$475.80 
123	$214.02 	$303.81 	$482.16 	$519.06 	$565.80 	$589.17 	$611.31 	$621.15 	$639.60 	$479.70 
124	$215.76 	$306.28 	$486.08 	$523.28 	$570.40 	$593.96 	$616.28 	$626.20 	$644.80 	$483.60 
125	$217.50 	$308.75 	$490.00 	$527.50 	$575.00 	$598.75 	$621.25 	$631.25 	$650.00 	$487.50 
126	$219.24 	$311.22 	$493.92 	$531.72 	$579.60 	$603.54 	$626.22 	$636.30 	$655.20 	$491.40 
127	$220.98 	$313.69 	$497.84 	$535.94 	$584.20 	$608.33 	$631.19 	$641.35 	$660.40 	$495.30 
128	$222.72 	$316.16 	$501.76 	$540.16 	$588.80 	$613.12 	$636.16 	$646.40 	$665.60 	$499.20 
129	$224.46 	$318.63 	$505.68 	$544.38 	$593.40 	$617.91 	$641.13 	$651.45 	$670.80 	$503.10 
130	$226.20 	$321.10 	$509.60 	$548.60 	$598.00 	$622.70 	$646.10 	$656.50 	$676.00 	$507.00 
131	$227.94 	$323.57 	$513.52 	$552.82 	$602.60 	$627.49 	$651.07 	$661.55 	$681.20 	$510.90 
132	$229.68 	$326.04 	$517.44 	$557.04 	$607.20 	$632.28 	$656.04 	$666.60 	$686.40 	$514.80 
133	$231.42 	$328.51 	$521.36 	$561.26 	$611.80 	$637.07 	$661.01 	$671.65 	$691.60 	$518.70 
134	$233.16 	$330.98 	$525.28 	$565.48 	$616.40 	$641.86 	$665.98 	$676.70 	$696.80 	$522.60 
135	$234.90 	$333.45 	$529.20 	$569.70 	$621.00 	$646.65 	$670.95 	$681.75 	$702.00 	$526.50 
136	$236.64 	$335.92 	$533.12 	$573.92 	$625.60 	$651.44 	$675.92 	$686.80 	$707.20 	$530.40 
137	$238.38 	$338.39 	$537.04 	$578.14 	$630.20 	$656.23 	$680.89 	$691.85 	$712.40 	$534.30 
138	$240.12 	$340.86 	$540.96 	$582.36 	$634.80 	$661.02 	$685.86 	$696.90 	$717.60 	$538.20 
139	$241.86 	$343.33 	$544.88 	$586.58 	$639.40 	$665.81 	$690.83 	$701.95 	$722.80 	$542.10 
140	$243.60 	$345.80 	$548.80 	$590.80 	$644.00 	$670.60 	$695.80 	$707.00 	$728.00 	$546.00 
141	$245.34 	$348.27 	$552.72 	$595.02 	$648.60 	$675.39 	$700.77 	$712.05 	$733.20 	$549.90 
142	$247.08 	$350.74 	$556.64 	$599.24 	$653.20 	$680.18 	$705.74 	$717.10 	$738.40 	$553.80 
143	$248.82 	$353.21 	$560.56 	$603.46 	$657.80 	$684.97 	$710.71 	$722.15 	$743.60 	$557.70 
144	$250.56 	$355.68 	$564.48 	$607.68 	$662.40 	$689.76 	$715.68 	$727.20 	$748.80 	$561.60 
145	$252.30 	$358.15 	$568.40 	$611.90 	$667.00 	$694.55 	$720.65 	$732.25 	$754.00 	$565.50 
146	$254.04 	$360.62 	$572.32 	$616.12 	$671.60 	$699.34 	$725.62 	$737.30 	$759.20 	$569.40 
147	$255.78 	$363.09 	$576.24 	$620.34 	$676.20 	$704.13 	$730.59 	$742.35 	$764.40 	$573.30 
148	$257.52 	$365.56 	$580.16 	$624.56 	$680.80 	$708.92 	$735.56 	$747.40 	$769.60 	$577.20 
149	$259.26 	$368.03 	$584.08 	$628.78 	$685.40 	$713.71 	$740.53 	$752.45 	$774.80 	$581.10 
150	$261.00 	$370.50 	$588.00 	$633.00 	$690.00 	$718.50 	$745.50 	$757.50 	$780.00 	$585.00 


Multiweight/Per-Pound Rates (multiply by total shipment weight)										
"Effective 2/28/2011"										

Weight	Zone 2	Zone 3	Zone 4	Zone 5	Zone 6	Zone 7	Zone 8	Zone 9-10	Zone 11-12	Zone 13-16
100-499	$1.74 	$2.47 	$3.92 	$4.22 	$4.60 	$4.79 	$4.97 	$5.05 	$5.20 	$3.90 
500-999	$1.72 	$2.45 	$3.90 	$4.20 	$4.58 	$4.77 	$4.95 	$5.03 	$5.18 	$3.88 
1000-1999	$1.70 	$2.43 	$3.88 	$4.18 	$4.56 	$4.75 	$4.93 	$5.01 	$5.16 	$3.86 
2000+	$1.68 	$2.41 	$3.86 	$4.16 	$4.54 	$4.73 	$4.91 	$4.99 	$5.14 	$3.84 


Go to fedex.com/us/rates-surcharges for additional fee and surcharge information. 										
