FedEx Ground Standard List Rates										
"Effective 2/28/2011"										

Weight	US Ground	US Ground	US Ground	US Ground	US Ground	US Ground	US Ground	To Hawaii	To Puerto Rico	Intra Oahu	To Alaska	To Canada	To Canada	From Hawaii	From Hawaii	Intra Alaska	Alaska to US	Alaska to US
24	$9.12 	$10.57 	$11.26 	$13.17 	$16.51 	$19.37 	$22.59 	$66.03 	-	$6.13 	$66.03 	$33.10 	$45.15 	$37.28 	$41.88 	$8.87 	$37.28 	$41.88 
25	$9.35 	$10.86 	$11.57 	$13.56 	$17.09 	$20.02 	$23.42 	$68.08 	-	$6.20 	$68.08 	$33.85 	$46.40 	$38.48 	$43.31 	$9.13 	$38.48 	$43.31 
26	$9.60 	$11.11 	$11.92 	$14.01 	$17.72 	$20.68 	$24.25 	$70.37 	-	$6.26 	$70.37 	$34.80 	$47.60 	$39.66 	$44.73 	$9.35 	$39.66 	$44.73 
27	$9.81 	$11.37 	$12.20 	$14.44 	$18.31 	$21.35 	$25.09 	$72.31 	-	$6.34 	$72.31 	$35.65 	$48.80 	$40.80 	$46.11 	$9.60 	$40.80 	$46.11 
28	$9.99 	$11.64 	$12.59 	$14.88 	$18.89 	$22.00 	$25.96 	$74.26 	-	$6.38 	$74.26 	$36.50 	$50.05 	$41.99 	$47.51 	$9.82 	$41.99 	$47.51 
29	$10.20 	$11.87 	$12.96 	$15.23 	$19.45 	$22.58 	$26.74 	$76.08 	-	$6.44 	$76.08 	$37.35 	$51.25 	$43.17 	$48.88 	$10.06 	$43.17 	$48.88 
30	$10.45 	$12.16 	$13.36 	$15.68 	$20.06 	$23.23 	$27.59 	$77.90 	-	$6.49 	$77.90 	$38.20 	$52.50 	$44.35 	$50.28 	$10.27 	$44.35 	$50.28 
31	$10.66 	$12.41 	$13.68 	$16.11 	$20.62 	$23.87 	$28.41 	$79.82 	-	$6.56 	$79.82 	$39.05 	$53.60 	$45.52 	$51.61 	$10.49 	$45.52 	$51.61 
32	$10.74 	$12.68 	$14.05 	$16.57 	$21.21 	$24.54 	$29.27 	$81.54 	-	$6.61 	$81.54 	$39.90 	$54.85 	$46.62 	$52.84 	$10.65 	$46.62 	$52.84 
33	$10.94 	$12.97 	$14.40 	$17.02 	$21.77 	$25.19 	$30.08 	$83.25 	-	$6.66 	$83.25 	$40.75 	$56.10 	$47.70 	$53.99 	$10.83 	$47.70 	$53.99 
34	$11.05 	$13.26 	$14.72 	$17.45 	$22.37 	$25.85 	$30.93 	$85.11 	-	$6.75 	$85.11 	$41.50 	$57.25 	$48.76 	$55.06 	$11.04 	$48.76 	$55.06 
35	$11.25 	$13.56 	$15.06 	$17.89 	$22.94 	$26.51 	$31.74 	$87.21 	-	$6.81 	$87.21 	$42.45 	$58.20 	$49.69 	$56.06 	$11.23 	$49.69 	$56.06 
36	$11.45 	$13.75 	$15.39 	$18.34 	$23.51 	$27.16 	$32.49 	$89.27 	-	$6.85 	$89.27 	$43.20 	$59.40 	$50.54 	$57.00 	$11.41 	$50.54 	$57.00 
37	$11.65 	$14.06 	$15.69 	$18.78 	$24.03 	$27.81 	$33.11 	$91.31 	-	$6.93 	$91.31 	$44.20 	$60.65 	$51.40 	$57.91 	$11.60 	$51.40 	$57.91 
38	$11.83 	$14.28 	$16.04 	$19.23 	$24.57 	$28.48 	$33.73 	$93.48 	-	$7.00 	$93.48 	$45.00 	$61.70 	$52.25 	$58.84 	$11.79 	$52.25 	$58.84 
39	$12.00 	$14.56 	$16.41 	$19.65 	$25.15 	$29.18 	$34.42 	$95.50 	-	$7.05 	$95.50 	$45.85 	$62.70 	$53.13 	$59.76 	$11.95 	$53.13 	$59.76 
40	$12.12 	$14.89 	$16.77 	$20.06 	$25.66 	$29.80 	$34.99 	$97.54 	-	$7.11 	$97.54 	$46.75 	$63.80 	$53.99 	$60.79 	$12.15 	$53.99 	$60.79 
41	$12.31 	$15.13 	$17.09 	$20.48 	$26.14 	$30.40 	$35.53 	$99.42 	-	$7.19 	$99.42 	$47.55 	$64.90 	$54.87 	$61.85 	$12.31 	$54.87 	$61.85 
42	$12.50 	$15.31 	$17.42 	$20.87 	$26.59 	$30.99 	$36.09 	$101.30 	-	$7.27 	$101.30 	$48.30 	$65.85 	$55.72 	$62.94 	$12.51 	$55.72 	$62.94 
43	$12.66 	$15.58 	$17.78 	$21.32 	$27.09 	$31.65 	$36.71 	$103.36 	-	$7.35 	$103.36 	$49.20 	$67.00 	$56.54 	$64.04 	$12.66 	$56.54 	$64.04 
44	$12.82 	$15.84 	$18.07 	$21.75 	$27.57 	$32.30 	$37.31 	$105.42 	-	$7.45 	$105.42 	$49.95 	$68.00 	$57.43 	$65.10 	$12.86 	$57.43 	$65.10 
45	$12.96 	$16.10 	$18.41 	$22.18 	$28.05 	$32.96 	$37.93 	$107.47 	-	$7.53 	$107.47 	$50.75 	$69.15 	$58.29 	$66.19 	$13.02 	$58.29 	$66.19 
46	$13.11 	$16.35 	$18.68 	$22.59 	$28.49 	$33.61 	$38.56 	$109.54 	-	$7.66 	$109.54 	$51.55 	$70.15 	$59.16 	$67.27 	$13.21 	$59.16 	$67.27 
47	$13.25 	$16.51 	$18.97 	$23.01 	$28.89 	$34.26 	$39.18 	$111.63 	-	$7.79 	$111.63 	$52.35 	$71.25 	$60.04 	$68.37 	$13.37 	$60.04 	$68.37 
48	$13.39 	$16.72 	$19.26 	$23.40 	$29.31 	$34.92 	$39.81 	$113.55 	-	$7.90 	$113.55 	$53.15 	$72.35 	$60.88 	$69.44 	$13.59 	$60.88 	$69.44 
49	$13.53 	$16.93 	$19.55 	$23.80 	$29.69 	$35.57 	$40.42 	$115.49 	-	$8.05 	$115.49 	$54.05 	$73.35 	$61.74 	$70.43 	$13.80 	$61.74 	$70.43 
50	$13.67 	$17.12 	$19.82 	$24.15 	$30.07 	$36.24 	$41.04 	$117.44 	-	$8.20 	$117.44 	$54.95 	$74.40 	$62.61 	$71.36 	$14.03 	$62.61 	$71.36 
51	$13.78 	$17.28 	$20.00 	$24.53 	$30.44 	$36.86 	$41.67 	$119.42 	-	$8.35 	$119.42 	$56.60 	$76.05 	$63.39 	$72.29 	$14.22 	$63.39 	$72.29 
52	$13.92 	$17.42 	$20.18 	$24.86 	$30.80 	$37.43 	$42.28 	$121.34 	-	$8.48 	$121.34 	$56.60 	$76.05 	$64.10 	$73.22 	$14.45 	$64.10 	$73.22 
53	$14.04 	$17.61 	$20.30 	$25.18 	$31.17 	$37.89 	$42.91 	$123.19 	-	$8.64 	$123.19 	$58.15 	$77.55 	$64.81 	$74.15 	$14.65 	$64.81 	$74.15 
54	$14.18 	$17.77 	$20.56 	$25.52 	$31.55 	$38.24 	$43.54 	$125.15 	-	$8.80 	$125.15 	$58.15 	$77.55 	$65.50 	$75.05 	$14.90 	$65.50 	$75.05 
55	$14.33 	$17.92 	$20.77 	$25.89 	$31.90 	$38.52 	$44.13 	$127.08 	-	$8.96 	$127.08 	$59.60 	$79.10 	$66.21 	$76.01 	$15.11 	$66.21 	$76.01 
56	$14.45 	$18.14 	$21.00 	$26.25 	$32.28 	$38.80 	$44.76 	$129.05 	-	$9.13 	$129.05 	$59.60 	$79.10 	$66.85 	$76.84 	$15.34 	$66.85 	$76.84 
57	$14.67 	$18.33 	$21.22 	$26.63 	$32.62 	$39.09 	$45.32 	$131.09 	-	$9.26 	$131.09 	$60.80 	$80.65 	$67.45 	$77.61 	$15.54 	$67.45 	$77.61 
58	$14.82 	$18.52 	$21.46 	$26.91 	$32.99 	$39.33 	$45.77 	$133.05 	-	$9.42 	$133.05 	$60.80 	$80.65 	$68.07 	$78.40 	$15.77 	$68.07 	$78.40 
59	$14.95 	$18.72 	$21.72 	$27.17 	$33.29 	$39.55 	$46.11 	$135.09 	-	$9.60 	$135.09 	$62.15 	$82.15 	$68.72 	$79.17 	$15.98 	$68.72 	$79.17 
60	$15.10 	$18.92 	$21.96 	$27.37 	$33.58 	$39.76 	$46.40 	$137.20 	-	$9.74 	$137.20 	$62.15 	$82.15 	$69.32 	$79.94 	$16.20 	$69.32 	$79.94 
61	$15.25 	$19.10 	$22.19 	$27.68 	$33.88 	$39.99 	$46.68 	$138.88 	-	$9.88 	$138.88 	$63.30 	$83.90 	$69.96 	$80.65 	$16.40 	$69.96 	$80.65 
62	$15.37 	$19.25 	$22.39 	$27.92 	$34.12 	$40.22 	$46.97 	$141.18 	-	$10.06 	$141.18 	$63.30 	$83.90 	$70.61 	$81.33 	$16.61 	$70.61 	$81.33 
63	$15.49 	$19.44 	$22.60 	$28.16 	$34.34 	$40.48 	$47.25 	$143.46 	-	$10.18 	$143.46 	$64.45 	$85.40 	$71.23 	$82.04 	$16.83 	$71.23 	$82.04 
64	$15.63 	$19.64 	$22.83 	$28.36 	$34.58 	$40.75 	$47.52 	$145.86 	-	$10.34 	$145.86 	$64.45 	$85.40 	$71.82 	$82.70 	$17.06 	$71.82 	$82.70 
65	$15.76 	$19.86 	$23.10 	$28.55 	$34.88 	$40.96 	$47.80 	$148.24 	-	$10.52 	$148.24 	$65.30 	$86.85 	$72.42 	$83.43 	$17.28 	$72.42 	$83.43 
66	$15.89 	$20.10 	$23.36 	$28.74 	$35.24 	$41.17 	$48.15 	$150.53 	-	$10.64 	$150.53 	$65.30 	$86.85 	$72.95 	$84.11 	$17.49 	$72.95 	$84.11 
67	$16.01 	$20.31 	$23.59 	$28.91 	$35.52 	$41.37 	$48.28 	$152.81 	-	$10.81 	$152.81 	$66.35 	$88.50 	$73.51 	$84.80 	$17.71 	$73.51 	$84.80 
68	$16.14 	$20.52 	$23.81 	$29.08 	$35.71 	$41.60 	$48.39 	$155.01 	-	$10.94 	$155.01 	$66.35 	$88.50 	$74.03 	$85.51 	$17.94 	$74.03 	$85.51 
69	$16.28 	$20.67 	$24.04 	$29.24 	$35.90 	$41.82 	$48.52 	$157.28 	-	$11.11 	$157.28 	$67.30 	$90.10 	$74.59 	$86.19 	$18.15 	$74.59 	$86.19 
70	$16.39 	$20.86 	$24.20 	$29.35 	$35.98 	$41.96 	$48.95 	$160.60 	-	$11.26 	$160.60 	$67.30 	$90.10 	$75.15 	$86.88 	$18.37 	$75.15 	$86.88 
71	$16.75 	$21.30 	$24.47 	$29.59 	$36.20 	$42.01 	$49.03 	$163.05 	-	$11.42 	$163.05 	$68.30 	$91.65 	$75.67 	$87.57 	$18.56 	$75.67 	$87.57 
72	$17.59 	$22.06 	$24.81 	$30.14 	$36.75 	$42.51 	$49.16 	$165.48 	-	$12.05 	$165.48 	$68.30 	$91.65 	$76.25 	$88.27 	$19.19 	$76.25 	$88.27 
73	$18.42 	$22.76 	$25.15 	$30.65 	$37.36 	$43.16 	$49.29 	$167.90 	-	$12.66 	$167.90 	$69.40 	$93.55 	$76.79 	$88.97 	$19.82 	$76.79 	$88.97 
74	$19.26 	$23.51 	$25.52 	$31.37 	$37.94 	$43.82 	$49.48 	$169.51 	-	$13.30 	$169.51 	$69.40 	$93.55 	$77.42 	$89.65 	$20.45 	$77.42 	$89.65 
75	$19.97 	$24.19 	$26.16 	$31.93 	$38.29 	$44.27 	$49.58 	$171.45 	-	$13.91 	$171.45 	$70.40 	$95.50 	$78.11 	$90.37 	$21.08 	$78.11 	$90.37 
76	$20.73 	$24.92 	$26.73 	$32.45 	$38.77 	$45.00 	$49.85 	$173.56 	-	$14.55 	$173.56 	$70.40 	$95.50 	$78.84 	$91.07 	$21.70 	$78.84 	$91.07 
77	$21.53 	$25.49 	$27.42 	$32.86 	$39.46 	$45.85 	$49.93 	$174.99 	-	$15.15 	$174.99 	$70.95 	$96.85 	$79.51 	$91.78 	$22.33 	$79.51 	$91.78 
78	$22.19 	$25.98 	$28.01 	$33.23 	$40.14 	$46.62 	$49.97 	$175.92 	-	$15.77 	$175.92 	$70.95 	$96.85 	$80.31 	$92.44 	$22.96 	$80.31 	$92.44 
79	$22.97 	$26.48 	$28.71 	$33.74 	$40.43 	$46.90 	$50.34 	$175.95 	-	$16.40 	$175.95 	$71.85 	$99.05 	$81.12 	$93.15 	$23.59 	$81.12 	$93.15 
80	$23.59 	$27.14 	$29.39 	$34.21 	$41.12 	$47.10 	$50.71 	$177.79 	-	$17.02 	$177.79 	$71.85 	$99.05 	$81.87 	$93.84 	$24.22 	$81.87 	$93.84 
81	$24.13 	$27.63 	$30.07 	$34.46 	$41.67 	$47.73 	$50.86 	$179.29 	-	$17.63 	$179.29 	$72.40 	$101.20 	$82.66 	$94.54 	$24.83 	$82.66 	$94.54 
82	$24.94 	$28.12 	$30.75 	$35.10 	$42.20 	$48.39 	$51.10 	$180.18 	-	$18.26 	$180.18 	$72.40 	$101.20 	$83.36 	$95.23 	$25.47 	$83.36 	$95.23 
83	$25.66 	$28.70 	$31.43 	$35.79 	$42.85 	$49.05 	$51.68 	$182.16 	-	$18.89 	$182.16 	$73.20 	$103.25 	$84.07 	$95.94 	$26.10 	$84.07 	$95.94 
84	$26.43 	$29.40 	$32.07 	$36.47 	$43.49 	$49.66 	$52.27 	$184.26 	-	$19.50 	$184.26 	$73.20 	$103.25 	$84.79 	$96.62 	$26.73 	$84.79 	$96.62 
85	$27.14 	$30.11 	$32.69 	$37.16 	$44.16 	$50.19 	$52.85 	$186.38 	-	$20.13 	$186.38 	$73.70 	$105.60 	$85.49 	$97.33 	$27.36 	$85.49 	$97.33 
86	$27.89 	$30.79 	$33.35 	$37.85 	$44.78 	$50.73 	$53.43 	$188.35 	-	$20.74 	$188.35 	$73.70 	$105.60 	$86.27 	$97.99 	$27.98 	$86.27 	$97.99 
87	$28.64 	$31.51 	$34.10 	$38.53 	$45.36 	$51.26 	$54.02 	$190.47 	-	$21.37 	$190.47 	$74.55 	$107.65 	$87.04 	$98.73 	$28.59 	$87.04 	$98.73 
88	$29.61 	$32.21 	$34.73 	$39.22 	$45.95 	$51.80 	$54.62 	$192.57 	-	$21.99 	$192.57 	$74.55 	$107.65 	$87.82 	$99.38 	$29.23 	$87.82 	$99.38 
89	$30.64 	$32.89 	$35.39 	$39.90 	$46.53 	$52.33 	$55.22 	$194.58 	-	$22.61 	$194.58 	$75.30 	$109.75 	$88.54 	$100.09 	$29.86 	$88.54 	$100.09 
90	$31.64 	$33.50 	$35.92 	$40.30 	$46.76 	$52.43 	$55.79 	$196.55 	-	$23.22 	$196.55 	$75.30 	$109.75 	$89.25 	$100.78 	$30.50 	$89.25 	$100.78 
91	$32.15 	$34.17 	$36.62 	$40.99 	$47.34 	$52.96 	$56.39 	$198.66 	-	$23.87 	$198.66 	$75.85 	$112.00 	$89.95 	$101.49 	$31.11 	$89.95 	$101.49 
92	$32.93 	$34.82 	$37.15 	$41.54 	$47.93 	$53.55 	$57.01 	$200.54 	-	$24.48 	$200.54 	$75.85 	$112.00 	$90.65 	$102.18 	$31.75 	$90.65 	$102.18 
93	$33.71 	$35.49 	$37.86 	$42.13 	$48.32 	$53.90 	$57.59 	$202.51 	-	$25.11 	$202.51 	$76.65 	$114.00 	$91.37 	$102.88 	$32.36 	$91.37 	$102.88 
94	$34.50 	$36.13 	$38.39 	$42.68 	$48.88 	$54.47 	$58.19 	$204.42 	-	$25.72 	$204.42 	$76.65 	$114.00 	$92.07 	$103.57 	$33.00 	$92.07 	$103.57 
95	$35.31 	$36.74 	$39.00 	$43.25 	$49.20 	$54.76 	$58.79 	$206.38 	-	$26.35 	$206.38 	$77.35 	$116.15 	$92.85 	$104.24 	$33.63 	$92.85 	$104.24 
96	$36.10 	$37.36 	$39.65 	$43.82 	$49.59 	$55.11 	$59.37 	$208.28 	-	$26.96 	$208.28 	$77.35 	$116.15 	$93.63 	$104.95 	$34.26 	$93.63 	$104.95 
97	$36.93 	$38.07 	$40.25 	$44.50 	$50.18 	$55.68 	$59.99 	$210.27 	-	$27.59 	$210.27 	$78.05 	$118.35 	$94.42 	$105.64 	$34.89 	$94.42 	$105.64 
98	$37.76 	$38.69 	$41.03 	$45.04 	$50.76 	$56.25 	$60.57 	$212.14 	-	$28.20 	$212.14 	$78.05 	$118.35 	$95.21 	$106.36 	$35.52 	$95.21 	$106.36 
99	$38.59 	$39.31 	$41.81 	$45.60 	$51.33 	$56.81 	$61.18 	$214.13 	-	$28.82 	$214.13 	$78.65 	$120.40 	$95.92 	$107.07 	$36.14 	$95.92 	$107.07 
100	$39.32 	$39.95 	$42.59 	$46.28 	$51.90 	$57.38 	$61.78 	$216.12 	-	$29.46 	$216.12 	$78.65 	$120.40 	$96.61 	$107.74 	$36.76 	$96.61 	$107.74 
101	$39.99 	$40.59 	$43.36 	$46.94 	$52.46 	$57.94 	$62.36 	$218.10 	-	$30.08 	$218.10 	$82.70 	$126.15 	$97.33 	$108.46 	$37.39 	$97.33 	$108.46 
102	$40.40 	$41.20 	$43.86 	$47.55 	$53.00 	$58.47 	$62.96 	$220.11 	-	$30.69 	$220.11 	$82.70 	$126.15 	$98.03 	$109.13 	$38.03 	$98.03 	$109.13 
103	$41.10 	$41.83 	$44.40 	$48.03 	$53.50 	$58.98 	$63.52 	$222.09 	-	$31.32 	$222.09 	$82.70 	$126.15 	$98.80 	$109.84 	$38.66 	$98.80 	$109.84 
104	$41.76 	$42.44 	$44.93 	$48.53 	$54.00 	$59.49 	$64.12 	$224.20 	-	$31.94 	$224.20 	$82.70 	$126.15 	$99.59 	$110.52 	$39.29 	$99.59 	$110.52 
105	$42.44 	$43.09 	$45.44 	$49.04 	$54.52 	$60.02 	$64.67 	$226.19 	-	$32.56 	$226.19 	$82.70 	$126.15 	$100.37 	$111.23 	$39.90 	$100.37 	$111.23 
106	$43.14 	$43.72 	$45.97 	$49.53 	$55.02 	$60.54 	$65.27 	$228.28 	-	$33.18 	$228.28 	$85.60 	$131.75 	$101.10 	$111.92 	$40.53 	$101.10 	$111.92 
107	$43.77 	$44.38 	$46.49 	$50.04 	$55.52 	$61.08 	$65.86 	$230.39 	-	$33.79 	$230.39 	$85.60 	$131.75 	$101.79 	$112.60 	$41.16 	$101.79 	$112.60 
108	$44.40 	$45.01 	$47.02 	$50.54 	$56.02 	$61.61 	$66.43 	$232.49 	-	$34.43 	$232.49 	$85.60 	$131.75 	$102.50 	$113.29 	$41.79 	$102.50 	$113.29 
109	$45.04 	$45.64 	$47.54 	$51.04 	$56.52 	$62.14 	$67.02 	$234.48 	-	$35.06 	$234.48 	$85.60 	$131.75 	$103.16 	$113.98 	$42.43 	$103.16 	$113.98 
110	$45.60 	$46.30 	$48.08 	$51.53 	$57.06 	$62.69 	$67.61 	$236.46 	-	$35.68 	$236.46 	$85.60 	$131.75 	$103.99 	$114.69 	$43.05 	$103.99 	$114.69 
111	$46.10 	$46.81 	$48.62 	$52.03 	$57.55 	$63.22 	$68.34 	$239.15 	-	$36.28 	$239.15 	$88.45 	$137.30 	$104.77 	$115.37 	$43.67 	$104.77 	$115.37 
112	$46.59 	$47.32 	$49.15 	$52.54 	$58.05 	$63.76 	$69.08 	$241.85 	-	$36.90 	$241.85 	$88.45 	$137.30 	$105.55 	$116.13 	$44.30 	$105.55 	$116.13 
113	$47.09 	$47.84 	$49.69 	$53.03 	$58.56 	$64.28 	$69.65 	$243.96 	-	$37.53 	$243.96 	$88.45 	$137.30 	$106.24 	$116.94 	$44.93 	$106.24 	$116.94 
114	$47.59 	$48.37 	$50.22 	$53.54 	$59.07 	$64.80 	$70.23 	$246.08 	-	$38.14 	$246.08 	$88.45 	$137.30 	$106.97 	$117.70 	$45.55 	$106.97 	$117.70 
115	$48.10 	$48.91 	$50.78 	$54.05 	$59.55 	$65.35 	$70.80 	$248.17 	-	$38.76 	$248.17 	$88.45 	$137.30 	$107.67 	$118.45 	$46.18 	$107.67 	$118.45 
116	$48.60 	$49.42 	$51.31 	$54.56 	$60.07 	$65.88 	$71.37 	$250.19 	-	$39.39 	$250.19 	$90.95 	$143.00 	$108.39 	$119.27 	$46.83 	$108.39 	$119.27 
117	$49.09 	$49.95 	$51.84 	$55.05 	$60.56 	$66.41 	$71.96 	$252.19 	-	$40.02 	$252.19 	$90.95 	$143.00 	$109.14 	$120.03 	$47.44 	$109.14 	$120.03 
118	$49.61 	$50.48 	$52.40 	$55.56 	$61.06 	$66.94 	$72.52 	$254.19 	-	$40.64 	$254.19 	$90.95 	$143.00 	$109.94 	$120.79 	$48.08 	$109.94 	$120.79 
119	$50.12 	$51.02 	$52.93 	$56.05 	$61.57 	$67.47 	$73.46 	$257.87 	-	$41.26 	$257.87 	$90.95 	$143.00 	$110.72 	$121.49 	$48.69 	$110.72 	$121.49 
120	$50.99 	$51.54 	$53.49 	$56.57 	$62.06 	$67.99 	$74.05 	$259.99 	-	$41.88 	$259.99 	$90.95 	$143.00 	$111.48 	$122.20 	$49.33 	$111.48 	$122.20 
121	$51.55 	$52.08 	$54.03 	$57.08 	$62.58 	$68.52 	$74.61 	$262.23 	-	$42.50 	$262.23 	$93.35 	$148.55 	$112.29 	$122.88 	$49.95 	$112.29 	$122.88 
122	$51.91 	$52.61 	$54.58 	$57.59 	$63.07 	$69.04 	$75.22 	$264.45 	-	$43.13 	$264.45 	$93.35 	$148.55 	$113.08 	$123.56 	$50.60 	$113.08 	$123.56 
123	$52.44 	$53.13 	$55.14 	$58.08 	$63.57 	$69.58 	$75.81 	$266.70 	-	$43.74 	$266.70 	$93.35 	$148.55 	$113.83 	$124.27 	$51.21 	$113.83 	$124.27 
124	$52.95 	$53.69 	$55.71 	$58.61 	$64.09 	$70.10 	$76.38 	$268.93 	-	$44.36 	$268.93 	$93.35 	$148.55 	$114.62 	$124.95 	$51.84 	$114.62 	$124.95 
125	$53.47 	$54.22 	$56.26 	$59.11 	$64.57 	$70.62 	$76.96 	$271.17 	-	$44.99 	$271.17 	$93.35 	$148.55 	$115.40 	$125.67 	$52.46 	$115.40 	$125.67 
126	$54.00 	$54.75 	$56.81 	$59.62 	$65.09 	$71.15 	$77.58 	$273.38 	-	$45.62 	$273.38 	$95.55 	$154.10 	$116.21 	$126.33 	$53.10 	$116.21 	$126.33 
127	$54.51 	$55.30 	$57.38 	$60.13 	$65.59 	$71.67 	$78.14 	$275.62 	-	$46.22 	$275.62 	$95.55 	$154.10 	$116.98 	$127.06 	$53.72 	$116.98 	$127.06 
128	$55.05 	$55.86 	$57.94 	$60.64 	$66.08 	$72.18 	$78.75 	$277.86 	-	$46.86 	$277.86 	$95.55 	$154.10 	$117.77 	$127.83 	$54.36 	$117.77 	$127.83 
